artist,song,release,duration,released,label
"Giraffage, Japanese Breakfast, RAC",Maybes - RAC Mix,Too Real (Remixes),3:54,2017,Counter Records
"Dean Blunt, Inga Copeland",The Narcissist,The Narcissist II,4:06,2012,Hippos In Tanks / World Music
Tirzah,No Romance,No Romance,3:57,2014,Greco-Roman
Sandro Perri,Love & Light,Impossible Spaces,3:45,2011,Constellation
Mereba,Black Truck,Black Truck,4:14,2018,UMGRI Interscope
David Bowie,TVC15 - 2016 Remaster,Station to Station (2016 Remaster),5:35,1976,Parlophone UK
"Cannibal Ox, L.I.F.E. Long, C-Rayz Walz",Battle for Asgard,The Cold Vein (Deluxe Edition),4:26,2013,IGC Records / iHipHop Distribution
Genesis,No Reply at All - 2007 Remaster,Abacab (2007 Remaster),4:33,1981,Rhino Atlantic
Pageninetynine,In love with an apparition,Document #8,3:46,2005,Robotic Empire
"Ta-ku, JMSN, Sango",Love Again (feat. JMSN & Sango),Songs To Make Up To,5:16,2015,Fool's Gold Records
"Sleaford Mods, Amy Taylor",Nudge It,Spare Ribs,3:43,2021,Rough Trade
Television,Glory - 2003 Remaster,Adventure,3:11,1978,Rhino/Elektra
